,,,,,,,
zip,uscis_id,lat,lng,,,,
36030,2,31.86,-86.84,,,,
36031,2,32.29,-85.73,,,,
36032,2,31.98,-86.57,,,,
36033,2,31.63,-86.74,,,,
36034,2,31.66,-86.17,,,,
36035,2,31.71,-86.12,,,,
36036,2,32.01,-86.11,,,,
36037,2,31.82,-86.62,,,,
36038,2,31.4,-86.48,,,,
36039,2,32.3,-85.87,,,,
36040,2,32.18,-86.57,,,,
36041,2,31.95,-86.31,,,,
36042,2,31.85,-86.4,,,,
36043,2,32.21,-86.4,,,,
36045,2,32.66,-86.02,,,,
36046,2,31.98,-86.27,,,,
36047,2,32.08,-86.51,,,,
36048,2,31.78,-85.55,,,,
36049,2,31.7,-86.26,,,,
36051,2,32.64,-86.54,,,,
36052,2,32.13,-86.03,,,,
36053,2,32.07,-85.52,,,,
36054,2,32.49,-86.36,,,,
36057,2,32.36,-86.06,,,,
36061,2,31.99,-85.75,,,,
36062,2,31.84,-86.2,,,,
36064,2,32.3,-86.08,,,,
36065,2,32.01,-86.11,,,,
36066,2,32.46,-86.44,,,,
36067,2,32.46,-86.44,,,,
36068,2,32.46,-86.44,,,,
36069,2,32.07,-86.24,,,,
36071,2,31.72,-86.3,,,,
36072,2,31.9,-85.15,,,,
36075,2,32.4,-85.93,,,,
36078,2,32.53,-85.89,,,,
36079,2,31.8,-85.96,,,,
36080,2,32.71,-86.25,,,,
36081,2,31.8,-85.96,,,,
36082,2,31.8,-85.96,,,,
36083,2,32.43,-85.71,,,,
36087,2,32.42,-85.71,,,,
36088,2,32.42,-85.71,,,,
36089,2,32.13,-85.71,,,,
36091,2,32.75,-86.52,,,,
36092,2,32.54,-86.2,,,,
36093,2,32.54,-86.2,,,,
36101,2,32.35,-86.28,,,,
36102,2,32.35,-86.28,,,,
36103,2,32.35,-86.28,,,,
36104,2,32.35,-86.28,,,,
36105,2,32.35,-86.28,,,,
36106,2,32.35,-86.28,,,,
36107,2,32.35,-86.28,,,,
36108,2,32.35,-86.28,,,,
36109,2,32.35,-86.28,,,,
36110,2,32.35,-86.28,,,,
36111,2,32.35,-86.28,,,,
36112,2,32.35,-86.28,,,,
36113,2,32.35,-86.28,,,,
36114,2,32.35,-86.28,,,,
36115,2,32.35,-86.28,,,,
36116,2,32.35,-86.28,,,,
36117,2,32.35,-86.28,,,,
36118,2,32.35,-86.28,,,,
36119,2,32.35,-86.28,,,,
36120,2,32.35,-86.28,,,,
36121,2,32.35,-86.28,,,,
36123,2,32.35,-86.28,,,,
36124,2,32.35,-86.28,,,,
36125,2,32.35,-86.28,,,,
36130,2,32.35,-86.28,,,,
36131,2,32.35,-86.28,,,,
36132,2,32.35,-86.28,,,,
36133,2,32.35,-86.28,,,,
36134,2,32.35,-86.28,,,,
36135,2,32.35,-86.28,,,,
36140,2,32.35,-86.28,,,,
36141,2,32.35,-86.28,,,,
36142,2,32.35,-86.28,,,,
36177,2,32.35,-86.28,,,,
36191,2,32.35,-86.28,,,,
36201,2,33.66,-85.81,,,,
36202,2,33.66,-85.81,,,,
36203,2,33.66,-85.81,,,,
36204,2,33.66,-85.81,,,,
36205,2,33.66,-85.81,,,,
36206,2,33.66,-85.81,,,,
36207,2,33.66,-85.81,,,,
36210,2,33.65,-85.77,,,,
36250,2,33.78,-85.9,,,,
36251,2,33.27,-85.83,,,,
36253,2,33.6,-85.95,,,,
36254,2,33.67,-85.83,,,,
36255,2,33.21,-85.69,,,,
36256,2,33.05,-85.63,,,,
36257,2,33.67,-85.83,,,,
36258,2,33.45,-85.68,,,,
36260,2,33.6,-85.97,,,,
36261,2,33.7,-85.5,,,,
36262,2,33.73,-85.43,,,,
36263,2,33.46,-85.33,,,,
36264,2,33.64,-85.58,,,,
36265,2,33.81,-85.76,,,,
36266,2,33.31,-85.75,,,,
36267,2,33.15,-85.95,,,,
36268,2,33.53,-85.92,,,,
36269,2,33.74,-85.37,,,,
36271,2,33.78,-86.01,,,,
36272,2,33.92,-85.61,,,,
36273,2,33.52,-85.34,,,,
36274,2,33.14,-85.36,,,,
36275,2,33.97,-85.55,,,,
36276,2,33.12,-85.56,,,,
36277,2,33.75,-85.8,,,,
36278,2,33.3,-85.48,,,,
36279,2,33.86,-85.91,,,,
36280,2,33.37,-85.39,,,,
36301,2,31.23,-85.4,,,,
36302,2,31.23,-85.4,,,,
36303,2,31.23,-85.4,,,,
36304,2,31.23,-85.4,,,,
36305,2,31.23,-85.4,,,,
36310,2,31.56,-85.25,,,,
36311,2,31.59,-85.71,,,,
36312,2,31.18,-85.23,,,,
36313,2,31.17,-85.79,,,,
36314,2,31,-85.74,,,,
36316,2,31.18,-85.87,,,,
36317,2,31.6,-85.43,,,,
36318,2,31.16,-85.9,,,,
36319,2,31.29,-85.11,,,,
36320,2,31.05,-85.3,,,,
36321,2,31.19,-85.3,,,,
36322,2,31.3,-85.71,,,,
36323,2,31.41,-86.07,,,,
36330,2,31.32,-85.84,,,,
36331,2,31.32,-85.84,,,,
36340,2,31.03,-85.87,,,,
36343,2,31.14,-85.09,,,,
36344,2,31.1,-85.69,,,,
36345,2,31.35,-85.34,,,,
36346,2,31.57,-85.99,,,,
36349,2,31.13,-85.51,,,,
36350,2,31.31,-85.49,,,,
36351,2,31.38,-85.92,,,,
36352,2,31.33,-85.6,,,,
36353,2,31.42,-85.33,,,,
36360,2,31.43,-85.64,,,,
36361,2,31.43,-85.64,,,,
36362,2,31.34,-85.71,,,,
36370,2,31.15,-85.17,,,,
36371,2,31.32,-85.54,,,,
36373,2,31.56,-85.1,,,,
36374,2,31.55,-85.54,,,,
36375,2,31.11,-85.59,,,,
36376,2,31.25,-85.28,,,,
36401,2,31.43,-86.95,,,,
36420,2,31.3,-86.48,,,,
36421,2,31.37,-86.47,,,,
36425,2,31.73,-87.2,,,,
36426,2,31.11,-87.07,,,,
36427,2,31.11,-87.07,,,,
36429,2,31.26,-86.77,,,,
36432,2,31.29,-87.02,,,,
36435,2,31.89,-87.46,,,,
36436,2,31.76,-87.71,,,,
36439,2,31.42,-87.34,,,,
36441,2,31.01,-87.25,,,,
36442,2,31.02,-86.3,,,,
36444,2,31.71,-87.41,,,,
36445,2,31.43,-87.4,,,,
36446,2,31.78,-87.72,,,,
36449,2,31.33,-87.43,,,,
36451,2,31.7,-87.77,,,,
36453,2,31.21,-86.16,,,,
36454,2,31.33,-87.18,,,,
36455,2,31.01,-86.35,,,,
36456,2,31.54,-86.71,,,,
36457,2,31.38,-87.43,,,,
36458,2,31.5,-87.39,,,,
36460,2,31.51,-87.32,,,,
36461,2,31.51,-87.32,,,,
36462,2,31.51,-87.32,,,,
36467,2,31.29,-86.25,,,,
36470,2,31.51,-87.49,,,,
36471,2,31.58,-87.25,,,,
36473,2,31.31,-87.23,,,,
36474,2,31.4,-86.6,,,,
36475,2,31.4,-87.23,,,,
36476,2,31.35,-86.54,,,,
36477,2,31.11,-86.04,,,,
36480,2,31.3,-87.5,,,,
36481,2,31.82,-87.31,,,,
36482,2,31.65,-87.62,,,,
36483,2,31.02,-86.61,,,,
36501,2,31.46,-87.73,,,,
36502,2,31.02,-87.49,,,,
36503,2,31.02,-87.49,,,,
36504,2,31.02,-87.49,,,,
36505,2,30.92,-88.02,,,,
36507,2,30.88,-87.77,,,,
36509,2,30.4,-88.25,,,,
36511,2,30.31,-87.72,,,,
36512,2,31.01,-88.02,,,,
36513,2,31.15,-88.01,,,,
36515,2,31.34,-87.84,,,,
36518,2,31.46,-88.25,,,,
36521,2,30.92,-88.2,,,,
36522,2,31.09,-88.24,,,,
36523,2,30.4,-88.16,,,,
36524,2,31.76,-88.08,,,,
36525,2,30.89,-88,,,,
36526,2,30.62,-87.89,,,,
36527,2,30.67,-87.88,,,,
36528,2,30.25,-88.11,,,,
36529,2,31.21,-88.31,,,,
36530,2,30.41,-87.6,,,,
36532,2,30.51,-87.88,,,,
36533,2,30.51,-87.88,,,,
36535,2,30.4,-87.68,,,,
36536,2,30.4,-87.68,,,,
36538,2,31.64,-88.14,,,,
36539,2,31.34,-88.41,,,,
36540,2,31.44,-87.69,,,,
36541,2,30.47,-88.34,,,,
36542,2,30.27,-87.7,,,,
36543,2,31.21,-87.46,,,,
36544,2,30.5,-88.23,,,,
36545,2,31.53,-87.89,,,,
36547,2,30.27,-87.7,,,,
36548,2,31.5,-87.98,,,,
36549,2,30.41,-87.43,,,,
36550,2,31.25,-87.7,,,,
36551,2,30.62,-87.75,,,,
36553,2,31.26,-88.02,,,,
36555,2,30.4,-87.77,,,,
36556,2,31.19,-88.01,,,,
36558,2,31.62,-88.31,,,,
36559,2,30.56,-87.9,,,,
36560,2,31.09,-88.01,,,,
36561,2,30.28,-87.59,,,,
36562,2,31,-87.62,,,,
36564,2,30.48,-87.9,,,,
36567,2,30.55,-87.7,,,,
36568,2,30.49,-88.24,,,,
36569,2,31.53,-88.05,,,,
36571,2,30.82,-88.09,,,,
36572,2,30.85,-88.06,,,,
36574,2,30.51,-87.47,,,,
36575,2,30.77,-88.26,,,,
36576,2,30.54,-87.74,,,,
36577,2,30.67,-87.88,,,,
36578,2,30.74,-87.79,,,,
36579,2,30.99,-87.85,,,,
36580,2,30.48,-87.7,,,,
36581,2,31.37,-88.03,,,,
36582,2,30.54,-88.17,,,,
36583,2,31.36,-88.24,,,,
36584,2,31.26,-88.34,,,,
36585,2,31.44,-88.03,,,,
36587,2,30.82,-88.35,,,,
36590,2,30.54,-88.17,,,,
36601,2,30.68,-88.04,,,,
36602,2,30.68,-88.04,,,,
36603,2,30.68,-88.04,,,,
36604,2,30.68,-88.04,,,,
36605,2,30.68,-88.04,,,,
36606,2,30.68,-88.04,,,,
36607,2,30.68,-88.04,,,,
36608,2,30.68,-88.04,,,,
36609,2,30.68,-88.04,,,,
36610,2,30.68,-88.04,,,,
36611,2,30.68,-88.04,,,,
36612,2,30.68,-88.04,,,,
36613,2,30.76,-88.12,,,,
36615,2,30.68,-88.04,,,,
36616,2,30.68,-88.04,,,,
36617,2,30.68,-88.04,,,,
36618,2,30.68,-88.04,,,,
36619,2,30.68,-88.04,,,,
36621,2,30.69,-88.04,,,,
36622,2,30.69,-88.04,,,,
36625,2,30.68,-88.04,,,,
36628,2,30.68,-88.04,,,,
36630,2,30.68,-88.04,,,,
36633,2,30.68,-88.04,,,,
36640,2,30.68,-88.04,,,,
36641,2,30.68,-88.04,,,,
36644,2,30.68,-88.04,,,,
36652,2,30.68,-88.04,,,,
36660,2,30.68,-88.04,,,,
36663,2,30.68,-88.04,,,,
36670,2,30.68,-88.04,,,,
36671,2,30.68,-88.04,,,,
36675,2,30.68,-88.04,,,,
36685,2,30.68,-88.04,,,,
36688,2,30.68,-88.04,,,,
36689,2,30.68,-88.04,,,,
36690,2,30.69,-88.04,,,,
36691,2,30.68,-88.04,,,,
36693,2,30.68,-88.04,,,,
36695,2,30.68,-88.04,,,,
36701,2,32.41,-87.03,,,,
36702,2,32.41,-87.03,,,,
36703,2,32.41,-87.03,,,,
36720,2,32.23,-87.41,,,,
36721,2,32.07,-87.56,,,,
36722,2,32.07,-87.56,,,,
36723,2,32.07,-87.28,,,,
36726,2,31.99,-87.29,,,,
36727,2,31.95,-88.02,,,,
36728,2,32.18,-87.46,,,,
36732,2,32.5,-87.83,,,,
36736,2,32.05,-87.72,,,,
36738,2,32.45,-87.59,,,,
36740,2,32.64,-87.86,,,,
36741,2,32,-86.96,,,,
36742,2,32.54,-87.7,,,,
36744,2,32.7,-87.59,,,,
36745,2,32.38,-87.89,,,,
36748,2,32.3,-87.79,,,,
36749,2,32.6,-86.88,,,,
36750,2,32.78,-86.87,,,,
36751,2,31.84,-87.54,,,,
36752,2,32.27,-86.61,,,,
36753,2,31.84,-87.08,,,,
36754,2,32.13,-87.66,,,,
36756,2,32.63,-87.31,,,,
36758,2,32.61,-86.98,,,,
36759,2,32.44,-87.28,,,,
